Date,Time,Operation,Model,Input Tokens,Output Tokens,Total Tokens,Cost (USD)
2026-05-19,19:57:31,RAG Response (Restored),gpt-4o-mini,913,175,1088,$0.000242
2026-05-19,19:58:10,RAG Response (Restored),gpt-4o-mini,1102,188,1290,$0.000278
2026-05-19,19:59:11,RAG Response (Restored),gpt-4o-mini,1391,87,1478,$0.000261
2026-05-19,19:59:57,RAG Response (Restored),gpt-4o-mini,924,34,958,$0.000159
2026-05-19,20:02:48,RAG Response (Restored),gpt-4o-mini,1059,231,1290,$0.000297
2026-05-20,10:26:03,RAG Response (Restored),gpt-4o-mini,913,205,1118,$0.000260
2026-05-20,10:43:38,RAG Response (Restored),gpt-4o-mini,1012,65,1077,$0.000191
2026-05-20,10:47:36,RAG Response (Restored),gpt-4o-mini,989,64,1053,$0.000187
2026-05-20,10:51:51,RAG Response (Restored),gpt-4o-mini,1064,66,1130,$0.000199
2026-05-20,10:52:20,RAG Response (Restored),gpt-4o-mini,1141,66,1207,$0.000211
2026-05-20,10:53:02,RAG Response (Restored),gpt-4o-mini,1218,66,1284,$0.000222
2026-05-20,10:53:32,RAG Response (Restored),gpt-4o-mini,1295,66,1361,$0.000234
2026-05-20,10:53:59,RAG Response (Restored),gpt-4o-mini,907,9,916,$0.000141
2026-05-20,10:54:32,RAG Response (Restored),gpt-4o-mini,907,9,916,$0.000141
2026-05-20,13:32:39,RAG Response (Restored),gpt-4o-mini,1013,9,1022,$0.000157
2026-05-20,13:34:20,RAG Response (Restored),gpt-4o-mini,1013,9,1022,$0.000157
2026-05-21,00:39:31,Intent Routing,gpt-4o-mini,899,19,918,$0.000146
2026-05-21,00:39:45,WhatsApp Formatting Agent,gpt-4o-mini,758,41,799,$0.000138
2026-05-21,00:40:12,Intent Routing,gpt-4o-mini,780,19,799,$0.000128
2026-05-21,00:40:16,WhatsApp Formatting Agent,gpt-4o-mini,756,75,831,$0.000158
2026-05-21,00:40:53,WhatsApp Formatting Agent,gpt-4o-mini,770,46,816,$0.000143
